indicator_type,indicator,failed_attempts,note
ipv4,87.106.13.39,29867,ssh-bruteforce-source
ipv4,118.117.167.156,8982,ssh-bruteforce-source
ipv4,117.50.89.245,995,ssh-bruteforce-source
ipv4,45.156.87.216,761,ssh-bruteforce-source
ipv4,45.153.34.161,761,ssh-bruteforce-source
ipv4,91.92.42.227,761,ssh-bruteforce-source
ipv4,91.92.40.151,761,ssh-bruteforce-source
ipv4,176.65.139.247,761,ssh-bruteforce-source
ipv4,60.165.119.59,390,ssh-bruteforce-source
ipv4,91.92.40.46,246,ssh-bruteforce-source
ipv4,94.183.175.108,191,ssh-bruteforce-source
ipv4,2.57.121.112,170,ssh-bruteforce-source
ipv4,222.121.250.203,158,ssh-bruteforce-source
ipv4,93.34.5.148,158,ssh-bruteforce-source
ipv4,125.124.175.173,147,ssh-bruteforce-source
ipv4,193.46.255.86,143,ssh-bruteforce-source
ipv4,2.57.121.25,141,ssh-bruteforce-source
ipv4,45.227.254.170,139,ssh-bruteforce-source
ipv4,45.148.10.147,130,ssh-bruteforce-source
ipv4,45.148.10.151,119,ssh-bruteforce-source
ipv4,45.148.10.157,114,ssh-bruteforce-source
ipv4,45.148.10.141,110,ssh-bruteforce-source
ipv4,62.60.130.219,101,ssh-bruteforce-source
ipv4,45.148.10.152,101,ssh-bruteforce-source
ipv4,43.160.237.65,96,ssh-bruteforce-source
ipv4,91.92.40.5,74,ssh-bruteforce-source
ipv4,195.178.110.217,71,ssh-bruteforce-source
ipv4,138.124.73.150,66,ssh-bruteforce-source
ipv4,59.145.52.114,61,ssh-bruteforce-source
ipv4,91.92.40.11,44,ssh-bruteforce-source
ipv4,91.92.40.6,42,ssh-bruteforce-source
ipv4,80.94.92.55,41,ssh-bruteforce-source
ipv4,45.148.10.121,36,ssh-bruteforce-source
ipv4,64.188.83.244,30,ssh-bruteforce-source
ipv4,146.59.32.16,20,ssh-bruteforce-source
ipv4,82.165.109.70,20,ssh-bruteforce-source
ipv4,45.148.10.239,16,ssh-bruteforce-source
ipv4,118.26.111.107,16,ssh-bruteforce-source
ipv4,182.19.35.57,16,ssh-bruteforce-source
ipv4,92.118.39.71,15,ssh-bruteforce-source
ipv4,37.59.110.4,15,ssh-bruteforce-source
ipv4,102.216.240.61,15,ssh-bruteforce-source
ipv4,117.200.93.93,15,ssh-bruteforce-source
ipv4,150.5.131.119,15,ssh-bruteforce-source
ipv4,40.81.194.185,15,ssh-bruteforce-source
ipv4,4.246.61.185,15,ssh-bruteforce-source
ipv4,101.47.14.46,15,ssh-bruteforce-source
ipv4,4.224.59.75,15,ssh-bruteforce-source
ipv4,201.186.40.161,15,ssh-bruteforce-source
ipv4,103.243.26.174,15,ssh-bruteforce-source
ipv4,185.92.182.129,15,ssh-bruteforce-source
ipv4,23.95.8.134,15,ssh-bruteforce-source
ipv4,79.116.23.158,15,ssh-bruteforce-source
ipv4,195.178.110.228,14,ssh-bruteforce-source
ipv4,185.242.3.195,13,ssh-bruteforce-source
ipv4,36.133.214.135,13,ssh-bruteforce-source
ipv4,171.231.178.160,12,ssh-bruteforce-source
ipv4,160.251.197.41,12,ssh-bruteforce-source
ipv4,27.79.43.43,12,ssh-bruteforce-source
ipv4,171.243.150.146,12,ssh-bruteforce-source
ipv4,27.79.41.116,10,ssh-bruteforce-source
ipv4,116.182.13.167,4,ssh-bruteforce-source
ipv4,91.92.40.204,4,ssh-bruteforce-source
ipv4,101.126.55.67,4,ssh-bruteforce-source
ipv4,115.190.113.93,4,ssh-bruteforce-source
ipv4,43.142.122.71,3,ssh-bruteforce-source
ipv4,176.193.141.80,3,ssh-bruteforce-source
ipv4,193.32.162.84,3,ssh-bruteforce-source
ipv4,14.103.127.7,3,ssh-bruteforce-source
ipv4,117.156.120.2,3,ssh-bruteforce-source
ipv4,43.128.81.242,3,ssh-bruteforce-source
ipv4,171.231.179.185,2,ssh-bruteforce-source
ipv4,121.31.210.47,2,ssh-bruteforce-source
ipv4,167.233.84.171,2,ssh-bruteforce-source
ipv4,34.53.242.126,1,ssh-bruteforce-source
ipv4,79.42.252.169,1,ssh-bruteforce-source
ipv4,45.225.135.30,1,ssh-bruteforce-source
ipv4,91.92.40.7,1,ssh-bruteforce-source
ipv4,221.228.10.226,1,ssh-bruteforce-source
ipv4,34.76.12.236,1,ssh-bruteforce-source
ipv4,119.45.32.65,1,ssh-bruteforce-source
ipv4,34.62.0.253,1,ssh-bruteforce-source
